customer_id,cluster
3,2
4,1
5,2
7,0
8,0
9,1
10,3
11,3
12,2
14,1
15,1
16,2
18,0
19,2
20,3
22,1
24,1
25,2
26,3
27,2
28,2
29,2
30,1
31,0
33,2
34,2
35,3
36,4
37,3
38,2
39,3
40,3
41,1
42,2
44,1
46,1
47,2
48,2
49,4
50,3
52,0
53,2
54,0
55,4
56,2
57,2
59,2
60,4
61,1
62,4
63,1
64,2
66,1
69,1
70,0
71,1
72,1
73,0
74,1
75,0
76,2
77,1
78,4
79,3
80,2
81,2
82,2
83,0
84,3
85,2
86,3
87,3
89,1
90,0
91,2
92,2
94,1
95,0
97,2
100,2
102,0
103,1
105,4
106,0
107,3
108,2
109,1
110,2
111,1
112,2
113,2
114,2
115,0
116,0
117,3
119,1
120,1
121,2
122,3
123,4
124,1
125,1
126,3
127,3
128,0
129,1
130,2
131,2
132,2
134,2
135,2
136,2
137,1
138,2
139,1
141,1
142,3
144,0
145,0
146,1
147,3
148,1
149,4
152,2
154,0
157,2
158,2
159,2
160,1
161,3
162,2
163,1
165,4
166,3
168,2
170,0
171,2
172,1
173,2
174,2
176,2
179,2
180,3
182,2
184,0
185,3
186,4
187,0
188,1
189,1
191,2
192,2
193,1
195,2
196,2
197,1
198,2
199,2
200,3
201,3
202,2
203,2
204,3
205,1
206,2
207,3
208,3
210,2
211,3
212,2
213,2
214,2
215,3
216,2
217,2
218,2
219,0
220,3
221,4
225,2
226,1
229,4
231,4
232,2
233,0
235,2
236,0
238,2
240,0
241,2
242,2
243,1
244,2
245,2
248,2
249,2
250,1
251,2
254,2
256,3
257,3
258,1
259,2
260,0
261,4
262,2
263,0
264,1
265,2
266,2
270,1
272,3
274,3
276,2
278,3
279,2
280,3
282,2
283,2
284,2
285,1
286,4
287,2
288,0
290,2
292,2
293,2
295,2
296,2
297,1
298,2
299,3
300,0
301,3
303,1
304,2
305,2
306,2
307,1
308,2
310,3
311,1
312,2
313,2
315,2
317,1
321,2
322,3
323,2
324,1
325,4
326,4
328,2
329,1
330,2
331,0
336,2
337,0
338,0
339,3
340,3
341,2
342,3
343,2
344,4
346,2
347,3
350,2
351,2
352,2
353,4
355,2
356,1
358,1
360,2
361,3
362,2
363,0
364,1
365,1
366,1
367,2
368,2
369,2
370,2
371,3
372,3
373,3
375,4
376,2
377,2
378,2
379,4
381,2
382,2
383,4
384,2
385,2
386,2
387,2
389,1
390,0
391,4
392,2
393,1
394,2
395,2
396,0
397,2
398,0
399,1
400,1
401,2
402,2
403,1
405,3
406,3
407,2
408,0
410,3
411,2
412,0
413,4
414,3
416,1
417,1
418,3
419,1
420,1
421,2
422,3
424,1
425,1
426,0
427,2
428,3
429,3
431,4
432,1
434,2
435,4
436,2
437,3
438,3
440,2
441,1
442,2
443,2
445,0
446,2
447,2
448,2
449,2
450,3
451,4
452,3
453,0
455,3
456,1
457,1
460,1
461,3
462,1
464,1
465,0
467,1
469,4
470,0
471,2
472,0
473,4
474,3
475,1
476,3
477,3
479,2
480,1
481,0
482,2
484,3
485,2
486,2
487,2
488,4
489,3
490,3
491,2
492,2
494,2
495,2
496,1
497,4
498,2
499,2
501,2
502,2
503,4
504,4
505,3
506,2
508,3
509,0
510,2
511,2
513,0
514,3
515,1
516,0
517,1
518,2
520,4
521,2
522,2
523,4
524,2
526,1
527,2
528,2
529,2
530,2
531,4
532,2
533,2
534,3
535,1
536,1
537,4
538,2
539,2
540,2
541,2
542,3
543,2
545,2
547,1
548,2
549,1
550,2
551,2
552,2
553,4
554,2
556,0
557,2
558,3
559,2
561,2
562,3
563,2
565,2
566,1
568,0
569,1
570,3
571,4
573,3
574,2
575,2
576,4
577,2
578,2
579,3
580,3
581,2
582,4
583,2
584,2
585,2
586,1
587,0
588,2
589,0
590,2
591,3
592,2
593,2
594,2
595,4
596,3
597,2
598,0
603,2
604,2
605,2
606,2
609,4
611,1
613,0
614,2
615,2
617,2
618,2
619,2
621,0
622,2
623,1
624,2
625,2
626,2
627,3
628,3
629,1
631,2
632,2
633,1
634,0
635,1
636,1
637,2
638,0
639,4
640,2
641,1
642,1
643,2
644,1
645,2
646,2
647,2
648,0
650,2
653,2
654,4
655,2
656,4
657,2
658,3
659,2
660,1
662,4
663,2
664,2
665,2
666,2
667,2
668,1
669,1
670,2
671,2
673,0
674,1
675,1
676,1
677,2
678,1
679,2
680,2
681,2
682,1
685,1
686,2
687,2
688,2
689,2
691,2
692,0
694,3
695,3
696,2
697,4
699,2
700,2
701,2
703,0
704,1
705,0
707,1
708,1
709,1
710,1
712,2
713,2
714,2
715,2
717,3
718,2
719,1
721,2
722,2
723,2
725,1
726,2
727,2
728,4
729,2
730,2
731,2
732,1
733,1
734,2
735,3
736,3
737,2
738,2
739,2
741,1
742,2
743,2
744,1
745,3
746,0
747,2
748,2
749,1
752,2
753,1
754,3
755,3
757,3
758,2
759,2
760,1
761,2
762,2
763,2
764,2
765,1
766,0
767,2
768,1
769,2
770,1
771,2
772,1
773,1
776,3
777,1
779,1
780,2
781,1
782,2
783,2
785,2
787,0
788,2
789,2
791,0
792,1
793,2
794,2
795,1
797,2
798,4
799,2
800,4
803,2
804,1
805,2
806,0
808,2
809,0
810,2
811,3
812,3
813,2
814,2
815,2
816,2
817,4
818,4
819,2
820,2
821,2
822,2
823,1
824,3
826,1
827,2
830,1
831,3
832,2
833,0
834,3
835,2
836,1
837,1
838,2
839,1
840,2
842,2
843,2
844,2
845,2
846,2
847,2
848,4
849,4
851,1
852,4
853,3
854,1
855,0
856,0
857,1
859,1
860,2
862,3
863,1
864,2
865,1
866,1
867,2
868,1
870,2
873,2
874,0
875,4
876,1
878,1
879,1
880,1
881,4
883,1
884,1
886,3
887,2
889,2
890,2
891,1
893,2
894,2
896,2
897,3
898,2
899,2
900,2
901,2
902,3
903,3
904,3
905,3
906,2
907,1
908,4
909,1
910,1
911,3
913,3
914,3
916,3
917,2
918,2
919,0
920,2
921,2
922,3
923,3
924,1
925,1
926,2
927,2
928,2
929,2
930,2
931,1
933,0
934,3
935,0
936,2
937,0
938,4
939,0
940,1
941,1
942,0
944,1
945,2
946,2
947,4
948,2
950,3
951,2
953,2
954,1
955,2
956,2
957,4
958,2
960,0
962,1
963,1
964,3
965,2
966,2
967,0
968,1
969,2
970,2
973,2
974,1
975,1
977,0
978,2
979,0
980,2
981,2
982,0
983,1
986,2
989,4
990,2
991,0
992,4
993,2
994,3
996,2
997,1
998,2
999,4
1000,1
1001,1
1002,1
1003,4
1004,2
1007,1
1008,1
1009,1
1011,2
1014,2
1015,0
1016,3
1018,2
1019,1
1021,0
1022,2
1023,3
1024,1
1025,3
1026,0
1027,3
1028,0
1029,1
1030,3
1031,2
1032,2
1033,1
1034,2
1035,2
1038,2
1039,2
1040,4
1041,1
1042,3
1043,2
1044,2
1045,2
1046,3
1048,2
1049,2
1050,0
1051,1
1052,2
1055,0
1058,2
1060,3
1061,2
1063,2
1064,4
1065,0
1066,2
1067,1
1068,0
1069,2
1071,0
1072,0
1073,3
1074,4
1075,4
1076,4
1077,3
1078,1
1079,1
1080,1
1082,3
1083,3
1084,2
1085,2
1086,0
1087,2
1088,2
1089,4
1090,1
1091,2
1092,2
1093,1
1094,4
1095,3
1096,1
1097,4
1098,1
1099,0
1101,2
1103,0
1104,0
1105,4
1106,2
1108,3
1110,2
1111,2
1112,1
1113,2
1114,4
1115,0
1117,1
1118,2
1119,2
1120,3
1121,2
1122,0
1123,3
1124,1
1125,2
1126,2
1127,2
1128,2
1129,0
1130,2
1131,1
1132,3
1133,3
1134,1
1135,2
1136,1
1137,3
1138,2
1139,0
1140,0
1141,2
1142,2
1143,3
1145,3
1146,0
1150,4
1152,2
1153,4
1154,4
1155,1
1156,0
1157,1
1158,1
1159,1
1160,0
1163,3
1164,3
1167,4
1168,2
1170,3
1171,2
1172,4
1173,3
1175,1
1177,0
1178,2
1179,0
1180,1
1181,1
1182,3
1183,0
1184,4
1186,2
1187,3
1189,2
1190,3
1191,0
1193,4
1194,3
1196,1
1197,1
1199,2
1200,2
1201,3
1203,0
1205,2
1206,2
1207,3
1208,2
1209,4
1210,1
1211,3
1212,2
1213,2
1216,1
1217,1
1218,3
1219,2
1221,3
1222,2
1223,0
1224,4
1227,0
1228,1
1229,2
1230,4
1231,2
1233,2
1234,2
1235,1
1236,1
1237,1
1238,1
1239,3
1240,0
1241,2
1242,2
1243,1
1245,4
1246,2
